Front	Back	Tags
What is the Microsoft identity platform (high level)?	A set of endpoints, libraries (MSAL), and tooling in Microsoft Entra ID that lets apps authenticate users (OIDC) and acquire tokens (OAuth 2.0) to call protected APIs like Microsoft Graph or your own. Key pillars: app registrations, protocols, tokens, consent/permissions, and libraries.	entra/overview
Which app objects exist in Entra ID for an application integration?	Two core objects: Application object (global, tenant-agnostic definition of app, app roles, permissions, redirect URIs) and Service principal (tenant-local instance used for policy, consent, assignment). SPs exist per tenant where the app is used.	entra/app-model
What determines whether an access token is intended for your API?	The audience (aud) claim must match your API’s App ID URI (or application ID URI). Your API must validate aud and other claims; clients should treat access tokens as opaque.	entra/tokens/access entra/tokens/validation
What’s the difference between v1.0 and v2.0 tokens?	v1.0 vs v2.0 control claim formats and audiences; selected by the resource via accessTokenAcceptedVersion in the app manifest: null/1 => v1.0, 2 => v2.0. You can get a v2 token from the v1 endpoint if the resource accepts v2.	entra/tokens/access
Default access token lifetime and why it varies?	Typically randomized between 60–90 minutes to spread load and improve resilience. CAE/SIF and CTL can influence effective behavior; clients use refresh tokens to renew.	entra/tokens/lifetimes entra/security-resilience
When should a client validate an access token?	Clients generally shouldn’t. Access tokens are for APIs to validate. Clients should cache by using expires_in and scope from the token response and avoid parsing tokens.	entra/tokens/validation
What must a web API validate on access tokens?	Signature (via OIDC jwks_uri), issuer (iss), audience (aud), expiration (exp/nbf), and tenant scoping (tid). Use tenant-specific or tenant-independent metadata with issuer rules; handle key rollover.	entra/tokens/validation
What’s the well-known OIDC configuration URL pattern?	{authority}/.well-known/openid-configuration (for v2: {authority}/v2.0/.well-known/openid-configuration). Example: https://login.microsoftonline.com/common/v2.0/.well-known/openid-configuration.	entra/endpoints-metadata entra/protocols/oidc
How do you enable ID tokens for an app?	In App registrations > Authentication: add platform and select “ID tokens” (implicit and hybrid flows), or set oauth2AllowIdTokenImplicitFlow=true in the manifest (legacy). Without it, requesting id_token yields unsupported_response error.	entra/protocols/oidc entra/apps/app-model
Which OIDC request params are required for sign-in?	response_type=id_token, scope=openid, nonce=... Plus tenant-specific authority, client_id, redirect_uri, response_mode (form_post recommended for web apps), and state.	entra/protocols/oidc
What is nonce in OIDC and how is it used?	A cryptographically random string the client generates and sends; the ID token includes the same nonce. The client must verify it to prevent replay.	entra/protocols/oidc
Where is the OIDC UserInfo endpoint in Entra?	userinfo_endpoint is exposed via the OIDC configuration; for Entra it’s hosted on Microsoft Graph at https://graph.microsoft.com/oidc/userinfo. Request a token with openid profile email to call it.	entra/protocols/oidc entra/tokens/access
How do you sign a user out?	1) Redirect to end_session_endpoint (logout) with optional post_logout_redirect_uri; 2) Clear your app’s session/cookies. For single sign-out, implement front-channel logout URL and respond 200 after clearing sessions.	entra/protocols/oidc
What apps should use the OAuth 2.0 auth code flow with PKCE?	SPAs (with spa redirect type + CORS), server-side web apps, desktop and mobile apps. Avoid implicit; use code+PKCE for modern clients.	entra/protocols/oauth2/auth-code
Why does a SPA need the ‘spa’ redirect URI type?	To allow cross-origin token redemption and CORS at the token endpoint. Without it, you’ll see CORS errors; SPAs must not use client secrets.	entra/protocols/oauth2/auth-code
Which parameters are key in the /authorize request (auth code flow)?	client_id, response_type=code (optionally id_token for hybrid), redirect_uri, response_mode, scope (can span multiple resources), state, PKCE parameters (code_challenge, code_challenge_method=S256), and optional prompt/login_hint/domain_hint.	entra/protocols/oauth2/auth-code
What is the hybrid flow in Entra ID?	Requesting an ID token along with the authorization code (response_type=code id_token), adding OIDC scopes and nonce. Useful to render UI while redeeming code server-side.	entra/protocols/oauth2/auth-code
When redeeming the auth code at /token, what must you send?	client_id, grant_type=authorization_code, code, redirect_uri (must match), code_verifier (if PKCE used—recommended/required for SPAs), plus client_secret or client_assertion only for confidential clients.	entra/protocols/oauth2/auth-code
Best practice: client secret vs certificate for confidential clients?	Prefer certificate credentials (private_key_jwt) over shared secrets for stronger security and rotation. Register cert in app registration and send client_assertion JWT at /token.	entra/security-resilience entra/protocols/oauth2/auth-code
What is Continuous Access Evaluation (CAE)?	A capability that evaluates access in near real-time; token lifetime variation still applies. Apps should handle mid-flight challenges and rely on libraries (MSAL) for resiliency.	entra/security-resilience entra/tokens/lifetimes
Refresh tokens behavior and 24h limit for SPAs?	SPAs get refresh tokens expiring ~24 hours; require interactive renewal daily due to third-party cookie privacy. Other app types get longer-lived RTs, but expect rotation and invalidation.	entra/tokens/refresh entra/protocols/oauth2/auth-code
